strategy_id,strategy_label,seed,q_min,lambda,resilience
degree_driven,Maximum-Degree Reconfiguration,17,0.6,0.07,0.2146047443392072
degree_driven,Maximum-Degree Reconfiguration,23,0.6,0.07,0.2932853807089916
degree_driven,Maximum-Degree Reconfiguration,29,0.6,0.07,0.17434469194026672
degree_driven,Maximum-Degree Reconfiguration,35,0.6,0.07,0.3290334028045931
degree_driven,Maximum-Degree Reconfiguration,11,0.6,0.1,0.03863118943591127
degree_driven,Maximum-Degree Reconfiguration,17,0.6,0.1,0.19407877949007749
degree_driven,Maximum-Degree Reconfiguration,23,0.6,0.1,0.2608330266055028
degree_driven,Maximum-Degree Reconfiguration,29,0.6,0.1,0.1549146622200833
degree_driven,Maximum-Degree Reconfiguration,35,0.6,0.1,0.3074101787064587
degree_driven,Maximum-Degree Reconfiguration,11,0.7,0.01,0.0
degree_driven,Maximum-Degree Reconfiguration,17,0.7,0.01,0.031037257671600156
degree_driven,Maximum-Degree Reconfiguration,23,0.7,0.01,0.1420457245313503
degree_driven,Maximum-Degree Reconfiguration,29,0.7,0.01,0.020626860104114846
degree_driven,Maximum-Degree Reconfiguration,35,0.7,0.01,0.19518825338320075
degree_driven,Maximum-Degree Reconfiguration,11,0.7,0.03,0.0
degree_driven,Maximum-Degree Reconfiguration,17,0.7,0.03,0.03111500189202042
degree_driven,Maximum-Degree Reconfiguration,23,0.7,0.03,0.14004739012820447
degree_driven,Maximum-Degree Reconfiguration,29,0.7,0.03,0.018054496449429348
degree_driven,Maximum-Degree Reconfiguration,35,0.7,0.03,0.16397547084461814
degree_driven,Maximum-Degree Reconfiguration,11,0.7,0.05,0.0
degree_driven,Maximum-Degree Reconfiguration,17,0.7,0.05,0.028633527515372067
degree_driven,Maximum-Degree Reconfiguration,23,0.7,0.05,0.12846242903878866
degree_driven,Maximum-Degree Reconfiguration,29,0.7,0.05,0.015636027671877852
degree_driven,Maximum-Degree Reconfiguration,35,0.7,0.05,0.1360619740147433
degree_driven,Maximum-Degree Reconfiguration,11,0.7,0.07,0.0
degree_driven,Maximum-Degree Reconfiguration,17,0.7,0.07,0.024691901054040063
degree_driven,Maximum-Degree Reconfiguration,23,0.7,0.07,0.11156926731508328
degree_driven,Maximum-Degree Reconfiguration,29,0.7,0.07,0.013604605609150972
degree_driven,Maximum-Degree Reconfiguration,35,0.7,0.07,0.11315003822717927
