strategy_id,strategy_label,time,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std
distance_driven,Nearest-Neighbor Reconfiguration,32,5,0.6120190569294228,0.016192574780733264,0.6383695935004888,0.0447922722027481,0.6794117647058824,0.09972622611931468,0.6575731522746324,0.06559833381368017,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,33,5,0.6120190569294228,0.016192574780733264,0.6388572813077416,0.04520279753904085,0.6794117647058824,0.09972622611931468,0.657792611787896,0.06577532585392282,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,34,5,0.61173396353195,0.015977012218406625,0.6389386071953267,0.04510852009897508,0.6794117647058824,0.09972622611931468,0.6578149537674357,0.0657425397680459,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,35,5,0.6124730696072718,0.015749963168205355,0.639253935601185,0.04511604758023728,0.6794117647058824,0.09972622611931468,0.657993806853838,0.06580140202198674,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,36,5,0.6128335260896,0.015688645126976906,0.6398022832168164,0.045307241106798686,0.6794117647058824,0.09972622611931468,0.6582585861049886,0.06593366121439202,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,37,5,0.6128335260896,0.015688645126976906,0.639765051261013,0.045262749630227396,0.6794117647058824,0.09972622611931468,0.658241831724877,0.06591466590484568,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,38,5,0.6128335260896,0.015688645126976906,0.639765051261013,0.045262749630227396,0.6794117647058824,0.09972622611931468,0.658241831724877,0.06591466590484568,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,39,5,0.6128335260896,0.015688645126976906,0.6399195620395686,0.04539832700902158,0.6794117647058824,0.09972622611931468,0.6583113615752271,0.06597130565481203,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,40,5,0.6128335260896,0.015688645126976906,0.6400578053551575,0.0452481976227747,0.6794117647058824,0.09972622611931468,0.6583735710672421,0.06594529743971811,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,41,5,0.6128335260896,0.015688645126976906,0.6400578053551575,0.0452481976227747,0.6794117647058824,0.09972622611931468,0.6583735710672421,0.06594529743971811,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,42,5,0.6128335260896,0.015688645126976906,0.6400578053551575,0.0452481976227747,0.6794117647058824,0.09972622611931468,0.6583735710672421,0.06594529743971811,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,43,5,0.6130251168619321,0.015820898048978703,0.6403442704321332,0.045504002654417335,0.6794117647058824,0.09972622611931468,0.6585120598904977,0.06605875340259998,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,44,5,0.6130251168619321,0.015820898048978703,0.6403442704321332,0.045504002654417335,0.6794117647058824,0.09972622611931468,0.6585120598904977,0.06605875340259998,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,45,5,0.6133280424009306,0.015791405505404442,0.6404048062231278,0.04550757927259707,0.6794117647058824,0.09972622611931468,0.6585544472733952,0.06607321369607345,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,46,5,0.6136104400223265,0.01599609794241726,0.6405311891713664,0.04562209044885589,0.6794117647058824,0.09972622611931468,0.6586254394811725,0.06613168961819679,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,47,5,0.6136104400223265,0.01599609794241726,0.6405311891713664,0.04562209044885589,0.6794117647058824,0.09972622611931468,0.6586254394811725,0.06613168961819679,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,48,5,0.6136104400223265,0.01599609794241726,0.6406949654155574,0.04563289764096913,0.6794117647058824,0.09972622611931468,0.6586991387910585,0.066156981664408,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,49,5,0.6136104400223265,0.01599609794241726,0.6406949654155574,0.04563289764096913,0.6794117647058824,0.09972622611931468,0.6586991387910585,0.066156981664408,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,50,5,0.6136104400223265,0.01599609794241726,0.6406949654155574,0.04563289764096913,0.6794117647058824,0.09972622611931468,0.6586991387910585,0.066156981664408,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,51,5,0.6136104400223265,0.01599609794241726,0.6406949654155574,0.04563289764096913,0.6794117647058824,0.09972622611931468,0.6586991387910585,0.066156981664408,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,52,5,0.6136104400223265,0.01599609794241726,0.6406949654155574,0.04563289764096913,0.6794117647058824,0.09972622611931468,0.6586991387910585,0.066156981664408,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,53,5,0.6136104400223265,0.01599609794241726,0.6407067004120952,0.04564354213136259,0.6794117647058824,0.09972622611931468,0.6587044195395004,0.06616133395538504,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,54,5,0.6136104400223265,0.01599609794241726,0.6407067004120952,0.04564354213136259,0.6794117647058824,0.09972622611931468,0.6587044195395004,0.06616133395538504,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,55,5,0.6136104400223265,0.01599609794241726,0.6407067004120952,0.04564354213136259,0.6794117647058824,0.09972622611931468,0.6587044195395004,0.06616133395538504,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,56,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,57,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,58,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,59,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,60,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,61,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,62,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,63,5,0.6136104400223265,0.01599609794241726,0.6410709701771002,0.045675894235331124,0.6794117647058824,0.09972622611931468,0.6588683409337527,0.06621871335544542,70.0,0.0
distance_driven,Nearest-Neighbor Reconfiguration,64,5,0.6138961301485009,0.016220569072970467,0.641172137281613,0.04576718650521273,0.6794117647058824,0.09972622611931468,0.6589281506370922,0.06626791427188938,70.0,0.0
