stage,stage_label,scenario_id,scenario_label,attack_ratio,num_runs,Q_phy_mean,Q_phy_std,Q_comm_mean,Q_comm_std,Q_mis_mean,Q_mis_std,Q_overall_mean,Q_overall_std,alive_nodes_mean,alive_nodes_std,phy_edges_mean,phy_edges_std,comm_edges_mean,comm_edges_std,mis_edges_mean,mis_edges_std,valid_paths_mean,valid_paths_std,attacked_count_mean,attacked_count_std,jammed_count_mean,jammed_count_std,affected_sensor_count_mean,affected_sensor_count_std,affected_decider_count_mean,affected_decider_count_std,affected_influencer_count_mean,affected_influencer_count_std
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,0.9,5,0.017671555452028857,0.010928860575060234,0.037876435271774166,0.00917468684152057,0.0,0.0,0.01851599690793434,0.006116945651852224,10.0,0.0,4.4,1.4966629547095764,2.4,0.4898979485566356,7.0,3.8987177379235853,0.0,0.0,90.0,0.0,0.0,0.0,46.0,0.8944271909999159,25.8,0.7483314773547882,18.2,1.3266499161421599
recon,侦察阶段（固定 $\Phi=1$）,hard_topology,硬杀伤-拓扑导向,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,50.0,0.0,30.0,0.0,20.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.0,5,1.0,0.0,1.0,4.965068306494546e-17,1.0,0.0,1.0,9.930136612989092e-17,100.0,0.0,507.8,18.946239732464065,141.8,6.046486583132389,681.6,22.473095024940378,1006.6,5.083306010855534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.1,5,1.0,0.0,0.8966386241073012,0.012657444880109472,0.9101324805836413,0.1342823334046432,0.9355903682303139,0.04080931758006799,100.0,0.0,507.8,18.946239732464065,126.0,13.145341380123988,547.8,23.92822601030005,909.2,139.97771251167094,0.0,0.0,10.0,0.0,5.0,0.6324555320336759,2.8,0.39999999999999997,2.2,0.7483314773547882
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.2,5,1.0,0.0,0.7861441011662818,0.01746435278914157,0.6366095718546095,0.09212047787219402,0.8075845576736305,0.02713635884363627,100.0,0.0,507.8,18.946239732464065,101.0,7.211102550927978,429.6,18.051038751274124,630.6,95.01494619269118,0.0,0.0,20.0,0.0,9.8,0.7483314773547883,5.8,1.16619037896906,4.4,1.4966629547095764
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.3,5,1.0,0.0,0.6677730365727232,0.017950549465711525,0.39103686951266403,0.11751104542718381,0.686269968695129,0.03721697909084748,100.0,0.0,507.8,18.946239732464065,79.2,2.638181191654584,337.4,32.69005965121508,385.4,120.6392970801803,0.0,0.0,30.0,0.0,15.4,1.9595917942265424,7.6,2.33238075793812,7.0,1.7888543819998317
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.4,5,1.0,0.0,0.5424261006976081,0.03374060081670744,0.20425233076311794,0.04785302084368287,0.5822261438202421,0.02456688710571936,100.0,0.0,507.8,18.946239732464065,55.8,7.222188034107115,240.8,33.98470244095129,197.8,50.87789303813592,0.0,0.0,40.0,0.0,19.6,1.2,11.6,3.2,8.8,2.7856776554368237
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.5,5,1.0,0.0,0.41845272228165237,0.02959134033177227,0.09490063689796943,0.024415892213586345,0.5044511197265406,0.01761295561601761,100.0,0.0,507.8,18.946239732464065,36.8,5.418486873657627,161.0,14.198591479439079,89.6,24.759644585494357,0.0,0.0,50.0,0.0,25.0,1.5491933384829668,14.4,2.5768197453450252,10.6,1.4966629547095764
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.6,5,1.0,0.0,0.2973427317977603,0.028025691693288047,0.04066182034071868,0.015817046951847453,0.4460015173794929,0.014251100207690924,100.0,0.0,507.8,18.946239732464065,23.0,5.176871642217914,99.6,7.552483035399682,37.4,14.402777509911065,0.0,0.0,60.0,0.0,30.0,0.6324555320336759,18.0,1.4142135623730951,12.0,1.2649110640673518
recon,侦察阶段（固定 $\Phi=1$）,soft_random,网络压制-随机攻击,0.7,5,1.0,0.0,0.1882938327580494,0.026569529234605066,0.016380593615373938,0.011902710751669496,0.4015581421244745,0.006731130786891535,100.0,0.0,507.8,18.946239732464065,13.2,4.166533331199932,59.2,6.881860213634101,15.0,11.260550608207398,0.0,0.0,70.0,0.0,34.0,1.0954451150103321,21.0,1.4142135623730951,15.0,0.6324555320336759
