scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,layer_id,layer_label,final_mean,final_std,static_baseline_mean,absolute_gain_vs_static,relative_gain_vs_static_pct,rank_within_scenario_layer,is_best_strategy
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,Q_comm,Communication-Layer Performance,0.5770495116970082,0.024548134647400344,0.38465354672542035,0.1923959649715879,50.01798803350879,2,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_comm,Communication-Layer Performance,0.5206062135660554,0.014826123757606308,0.38465354672542035,0.13595266684063506,35.34418647585824,3,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_comm,Communication-Layer Performance,0.43507882974033674,0.02290489915654718,0.38465354672542035,0.05042528301491639,13.10927286234326,4,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,Q_comm,Communication-Layer Performance,0.38465354672542035,0.02290289444367985,0.38465354672542035,0.0,0.0,5,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_mis,Mission-Layer Performance,0.9366666666666665,0.05979388465366095,0.1877124183006536,0.748954248366013,398.9902506963787,1,1
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,Q_mis,Mission-Layer Performance,0.7175816993464051,0.13138171853669076,0.1877124183006536,0.5298692810457515,282.27715877437316,2,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,Q_mis,Mission-Layer Performance,0.22058823529411767,0.08158161451832642,0.1877124183006536,0.03287581699346406,17.513927576601677,3,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_mis,Mission-Layer Performance,0.18797385620915033,0.10966580170873538,0.1877124183006536,0.00026143790849672555,0.13927576601670963,4,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,Q_mis,Mission-Layer Performance,0.1877124183006536,0.060376593076989976,0.1877124183006536,0.0,0.0,5,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,Q_phy,Physical-Layer Performance,1.0,0.0,0.640560138576708,0.359439861423292,56.11336700125441,1,1
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_driven,Utility-Guided and Role-Driven Reconfiguration,Q_phy,Physical-Layer Performance,0.9302998630500297,0.028977770729477666,0.640560138576708,0.28973972447332164,45.232243941545995,2,0
physical_role_decider,Physical Destruction-Role-Oriented Targeted Attack (D),Physical Destruction,Role-Oriented Targeted Attack,utility_role_mismatch_recon,Phase-Mismatched Utility Reconfiguration,Q_phy,Physical-Layer Performance,0.9231072579404535,0.047884307089361734,0.640560138576708,0.28254711936374544,44.10938214037963,3,0
